"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76"
"1","A1",5,5.08,6.02,6.92,7.1,7.17,7.9,8,8,8,8.29,9,9,9,9,9,9,9,9,8.61,7.91,7.66,7.67,8.47,8.93,9,9,9,9,9,9,8.98,8.21,7.7,7.7
"2","A2",5,5,5,5.91,6.1,6.19,6.2,6.2,6.3,6.3,6.3,6.4,6.4,6.5,6.57,6.6,6.6,6.6,6.67,6.8,6.8,6.8,6.8,7.08,7.2,7.2,7.2,7.2,7.33,7.4,7.4,7.4,7.37,7.2,7.2
"3","A3",5,5,5,5.1,6.7,7.68,9,9,9,9,9,9,9,9,9,9,9,9,9,8.98,7.9,7.9,6.64,9,9,9,9,9,9,9,9,9,7.06,6.31,6.6
"4","A4",5,5,5.3,5.6,5.6,5.6,5.94,6.3,6.3,6.43,6.5,6.59,7.02,7.4,7.4,7.4,7.4,7.4,7.4,7.3,7.1,7.1,7.1,7.3,7.32,7.46,7.66,7.8,7.86,7.9,8.1,8.1,7.56,6.96,6.7
"5","A5",5,5,5,5,5,5.9,5.73,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.11,6.5,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03
"6","A6",5,5,5,5,5,5.3,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.99,6,6,6.01,6.2,6.28,6.3,6.3,6.22,6.2,6.2
"7","A7",5,5.54,7.28,7.4,7.4,7.5,7.5,7.5,7.5,7.5,7.73,8,8,8,8,8,8,7.66,7.22,4.45,5.6,6,6.3,8.4,9,9,9,8.28,8.49,8.5,8.5,8.5,8.19,7,7.4
"8","A8",5,5,5,5,5.16,5.59,6.12,6.2,6.2,6.2,6.22,6.4,6.4,6.4,6.4,6.22,5.51,4.83,4.5,4.3,4.42,4.6,4.6,5.93,7.14,7.3,7.3,7.3,7.3,7.3,7.43,7.47,6.5,6.62,6.7
"9","A9",5,5,5,5,5,5,5.31,5.77,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
"10","A10",5,5,5,5.1,5.1,5.1,5.17,5.2,5.2,5.2,5.2,5.2,5.2,4.83,4.64,4.6,4.7,4.7,4.7,4.6,4.6,4.8,5.2,5.2,5.2,5.2,5.43,5.5,5.68,6.1,6.1,6.1,6.1,6.1,6.1
"11","A11",5,5,5,5,5.17,5.21,5.8,5.8,5.8,5.8,6.28,6.3,6.3,6.4,6.5,6.5,6.5,6.5,6.47,4.73,4.7,4.7,4.82,7,7,7,7,7.02,7.2,7.2,7.2,7.2,7.2,7.2,7.2
"12","A12",5,5,5,5.43,5.5,5.82,6.18,6.2,6.2,6.68,7,7,7,7,7,7,7,7,7,6.82,6.3,6.2,6.2,6.72,7.03,7.12,7.2,7.2,7.2,7.2,7.2,7.2,7.11,6.8,6.8
"13","A13",5,5,5,5,5,5,5.08,5.3,5.3,5.3,6.18,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.57,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
"14","A14",5,5,5,5,5,5.02,7,7,7,7,7,7,7,7,7,7,7,7,7,6.42,4.81,4,4,6.37,7,7,7,7,7,7,7,7,6.77,6.03,6
"15","A15",5,4.97,4.9,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.96,5,5,5,5,5,5,5,5,5,5,5,5,5,5.06,5.19,5.2,5.2,5.2,5.23,5.3,5.3,5.2,5.2,5.2
"16","A16",5,5,5,5.19,5.2,5.2,5.27,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.9,5.9,5.94,6.16,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
"17","A17",5,5.01,5.2,5.2,5.66,6.22,7.26,7.3,7.3,7.3,7.3,6.87,6.79,6.24,5.44,5.3,4.92,5.23,5.18,5.5,5.54,6.19,6.41,6.98,7.47,7.64,8.44,8.6,8.7,8.1,7.8,7.77,7.44,6.55,6.2
"18","A18",5,5,5,5,5,5.49,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
